ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0010715	regulation of extracellular matrix disassembly	2/40	16/18614	0.000530121371689347	0.00696492795886192	0.00387457129655769	DDR2/IL6	2
BP	GO:0045779	negative regulation of bone resorption	2/40	16/18614	0.000530121371689347	0.00696492795886192	0.00387457129655769	IL6/TNFAIP3	2
BP	GO:0051044	positive regulation of membrane protein ectodomain proteolysis	2/40	16/18614	0.000530121371689347	0.00696492795886192	0.00387457129655769	FURIN/IL1B	2
BP	GO:0070431	nucleotide-binding oligomerization domain containing 2 signaling pathway	2/40	16/18614	0.000530121371689347	0.00696492795886192	0.00387457129655769	RELA/TNFAIP3	2
BP	GO:0097468	programmed cell death in response to reactive oxygen species	2/40	16/18614	0.000530121371689347	0.00696492795886192	0.00387457129655769	DDR2/PARK7	2
BP	GO:0030968	endoplasmic reticulum unfolded protein response	3/40	75/18614	0.000557648538336561	0.00719091232459924	0.00400028581106929	ATF3/HSPA5/PARP6	3
BP	GO:0045669	positive regulation of osteoblast differentiation	3/40	75/18614	0.000557648538336561	0.00719091232459924	0.00400028581106929	DDR2/IL6/MEF2C	3
BP	GO:0048662	negative regulation of smooth muscle cell proliferation	3/40	75/18614	0.000557648538336561	0.00719091232459924	0.00400028581106929	CDKN1A/MEF2C/TNFAIP3	3
BP	GO:0022411	cellular component disassembly	6/40	488/18614	0.000566929043746323	0.00726573479991453	0.00404190935935383	DDR2/FURIN/GABARAPL2/IL6/PARK7/ULK1	6
BP	GO:0150076	neuroinflammatory response	3/40	76/18614	0.000579703586657016	0.00738415117394211	0.00410778408003431	IL1B/IL6/PTGS2	3
BP	GO:0019221	cytokine-mediated signaling pathway	6/40	492/18614	0.000591796910435072	0.00746056437933932	0.00415029254732338	IL1B/IL6/RELA/SOCS1/TBK1/TNFAIP3	6
BP	GO:0022409	positive regulation of cell-cell adhesion	5/40	321/18614	0.000592881321488653	0.00746056437933932	0.00415029254732338	IL1B/IL6/RELA/SOCS1/TFRC	5
BP	GO:0031649	heat generation	2/40	17/18614	0.000599987944341315	0.00746056437933932	0.00415029254732338	IL1B/PTGS2	2
BP	GO:0090399	replicative senescence	2/40	17/18614	0.000599987944341315	0.00746056437933932	0.00415029254732338	CDKN1A/CDKN2A	2
BP	GO:0043410	positive regulation of MAPK cascade	6/40	495/18614	0.000611000103864831	0.00754310143837639	0.00419620769845433	DDR2/EGFR/FZD7/IL1B/IL6/MEF2C	6
BP	GO:1905952	regulation of lipid localization	4/40	182/18614	0.000613847412409759	0.00754310143837639	0.00419620769845433	FURIN/IL1B/IL6/SCP2	4
BP	GO:2000045	regulation of G1/S transition of mitotic cell cycle	4/40	186/18614	0.00066597674144357	0.00804646384581577	0.00447622689565928	CDKN1A/CDKN2A/DDR2/EGFR	4
BP	GO:0032310	prostaglandin secretion	2/40	18/18614	0.000674069494024778	0.00804646384581577	0.00447622689565928	IL1B/PTGS2	2
BP	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	2/40	18/18614	0.000674069494024778	0.00804646384581577	0.00447622689565928	ATF3/HSPA5	2
BP	GO:0046851	negative regulation of bone remodeling	2/40	18/18614	0.000674069494024778	0.00804646384581577	0.00447622689565928	IL6/TNFAIP3	2
BP	GO:0150078	positive regulation of neuroinflammatory response	2/40	18/18614	0.000674069494024778	0.00804646384581577	0.00447622689565928	IL1B/IL6	2
BP	GO:0071466	cellular response to xenobiotic stimulus	4/40	189/18614	0.000707082801006198	0.00839259074603379	0.00466877638941892	HSPA5/IL1B/MEF2C/TFRC	4
BP	GO:0031099	regeneration	4/40	190/18614	0.000721175829801776	0.00851150456754751	0.00473492783884128	CDKN1A/FZD7/IL6/ULK1	4
BP	GO:0030308	negative regulation of cell growth	4/40	191/18614	0.000735466970793089	0.00863140731453238	0.00480162942492945	CDKN1A/CDKN2A/MEG3/ULK1	4
BP	GO:0035743	CD4-positive, alpha-beta T cell cytokine production	2/40	19/18614	0.000752348495146026	0.00878020115284943	0.00488440304993362	IL1B/IL6	2
BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	3/40	86/18614	0.000831467159334276	0.00952957822232044	0.00530127956334774	ATF3/PARK7/TNFAIP3	3
BP	GO:1900182	positive regulation of protein localization to nucleus	3/40	86/18614	0.000831467159334276	0.00952957822232044	0.00530127956334774	PARK7/PTGS2/TFRC	3
BP	GO:0032495	response to muramyl dipeptide	2/40	20/18614	0.000834807474717396	0.00952957822232044	0.00530127956334774	RELA/TNFAIP3	2
BP	GO:0034755	iron ion transmembrane transport	2/40	20/18614	0.000834807474717396	0.00952957822232044	0.00530127956334774	SLC25A28/SLC39A14	2
BP	GO:0071248	cellular response to metal ion	4/40	200/18614	0.000873261038165599	0.0099143603735214	0.00551533287262484	EGFR/HSPA5/MEF2C/PTGS2	4
BP	GO:0046849	bone remodeling	3/40	88/18614	0.000888912657964006	0.0100375056350638	0.0055838382611224	IL6/TFRC/TNFAIP3	3
BP	GO:0010224	response to UV-B	2/40	21/18614	0.000921429012221082	0.0101844719922214	0.00566559526311375	CDKN1A/RELA	2
BP	GO:0060252	positive regulation of glial cell proliferation	2/40	21/18614	0.000921429012221082	0.0101844719922214	0.00566559526311375	IL1B/IL6	2
BP	GO:0071498	cellular response to fluid shear stress	2/40	21/18614	0.000921429012221082	0.0101844719922214	0.00566559526311375	MEF2C/PTGS2	2
BP	GO:1903206	negative regulation of hydrogen peroxide-induced cell death	2/40	21/18614	0.000921429012221082	0.0101844719922214	0.00566559526311375	DDR2/PARK7	2
BP	GO:1901990	regulation of mitotic cell cycle phase transition	5/40	357/18614	0.000956436882092378	0.0105157718246894	0.00584989649767305	BRD4/CDKN1A/CDKN2A/DDR2/EGFR	5
BP	GO:0034104	negative regulation of tissue remodeling	2/40	22/18614	0.00101219573947327	0.0108993654626787	0.00606328864014373	IL6/TNFAIP3	2
BP	GO:0045723	positive regulation of fatty acid biosynthetic process	2/40	22/18614	0.00101219573947327	0.0108993654626787	0.00606328864014373	IL1B/PTGS2	2
BP	GO:0071636	positive regulation of transforming growth factor beta production	2/40	22/18614	0.00101219573947327	0.0108993654626787	0.00606328864014373	FURIN/PTGS2	2
BP	GO:2000725	regulation of cardiac muscle cell differentiation	2/40	22/18614	0.00101219573947327	0.0108993654626787	0.00606328864014373	FZD7/MEF2C	2
BP	GO:0032869	cellular response to insulin stimulus	4/40	211/18614	0.00106531156611622	0.0114124915980348	0.00634873937377766	IL1B/SLC39A14/SNX5/SOCS1	4
BP	GO:0072574	hepatocyte proliferation	2/40	23/18614	0.0011070903404886	0.0116483845850088	0.006479966028495	IL6/TNFAIP3	2
BP	GO:0072575	epithelial cell proliferation involved in liver morphogenesis	2/40	23/18614	0.0011070903404886	0.0116483845850088	0.006479966028495	IL6/TNFAIP3	2
BP	GO:1901032	negative regulation of response to reactive oxygen species	2/40	23/18614	0.0011070903404886	0.0116483845850088	0.006479966028495	DDR2/PARK7	2
BP	GO:1904705	regulation of vascular associated smooth muscle cell proliferation	3/40	95/18614	0.00110963548703531	0.0116483845850088	0.006479966028495	CDKN1A/DDR2/MEF2C	3
BP	GO:1902806	regulation of cell cycle G1/S phase transition	4/40	214/18614	0.0011224548718434	0.0117240411364043	0.00652205357113216	CDKN1A/CDKN2A/DDR2/EGFR	4
BP	GO:0009612	response to mechanical stimulus	4/40	215/18614	0.00114197230555004	0.0118098027044259	0.00656976250821908	DDR2/IL1B/PTGS2/RELA	4
BP	GO:0043491	protein kinase B signaling	4/40	215/18614	0.00114197230555004	0.0118098027044259	0.00656976250821908	EGFR/IL1B/MTDH/PARK7	4
BP	GO:0070997	neuron death	5/40	373/18614	0.00116277798553346	0.0119507376370705	0.00664816424445131	DDR2/HSPA5/MEF2C/PARK7/TBK1	5
BP	GO:0000041	transition metal ion transport	3/40	97/18614	0.00117848346253544	0.0119507376370705	0.00664816424445131	SLC25A28/SLC39A14/TFRC	3
BP	GO:1903321	negative regulation of protein modification by small protein conjugation or removal	3/40	97/18614	0.00117848346253544	0.0119507376370705	0.00664816424445131	PARK7/RELA/TNFAIP3	3
BP	GO:1990874	vascular associated smooth muscle cell proliferation	3/40	97/18614	0.00117848346253544	0.0119507376370705	0.00664816424445131	CDKN1A/DDR2/MEF2C	3
BP	GO:0048143	astrocyte activation	2/40	24/18614	0.00120609555134492	0.0120551847213375	0.00670626788559453	IL1B/IL6	2
BP	GO:0051043	regulation of membrane protein ectodomain proteolysis	2/40	24/18614	0.00120609555134492	0.0120551847213375	0.00670626788559453	FURIN/IL1B	2
BP	GO:0072576	liver morphogenesis	2/40	24/18614	0.00120609555134492	0.0120551847213375	0.00670626788559453	IL6/TNFAIP3	2
BP	GO:0034620	cellular response to unfolded protein	3/40	98/18614	0.00121389610410499	0.0120753760070253	0.00671750024527273	ATF3/HSPA5/PARP6	3
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	5/40	378/18614	0.00123357174477731	0.0121450988442193	0.00675628687814268	IL1B/IL6/RELA/SOCS1/TFRC	5
BP	GO:0072330	monocarboxylic acid biosynthetic process	4/40	220/18614	0.00124315293327221	0.0121450988442193	0.00675628687814268	IL1B/PARK7/PTGS2/SCP2	4
BP	GO:0048661	positive regulation of smooth muscle cell proliferation	3/40	99/18614	0.0012499742707071	0.0121450988442193	0.00675628687814268	DDR2/IL6/PTGS2	3
BP	GO:0098869	cellular oxidant detoxification	3/40	99/18614	0.0012499742707071	0.0121450988442193	0.00675628687814268	GSTZ1/PARK7/PTGS2	3
BP	GO:1901992	positive regulation of mitotic cell cycle phase transition	3/40	99/18614	0.0012499742707071	0.0121450988442193	0.00675628687814268	BRD4/DDR2/EGFR	3
BP	GO:0033233	regulation of protein sumoylation	2/40	25/18614	0.00130919416004843	0.012545443120831	0.00697899735728373	PARK7/RELA	2
BP	GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway	2/40	25/18614	0.00130919416004843	0.012545443120831	0.00697899735728373	RELA/TNFAIP3	2
BP	GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell	2/40	25/18614	0.00130919416004843	0.012545443120831	0.00697899735728373	IL6/RELA	2
BP	GO:0001776	leukocyte homeostasis	3/40	103/18614	0.00140103703717787	0.0132681383603926	0.0073810308381615	IL6/MEF2C/TNFAIP3	3
BP	GO:0042100	B cell proliferation	3/40	103/18614	0.00140103703717787	0.0132681383603926	0.0073810308381615	CDKN1A/MEF2C/TFRC	3
BP	GO:0002726	positive regulation of T cell cytokine production	2/40	26/18614	0.00141636900639902	0.0132681383603926	0.0073810308381615	IL1B/IL6	2
BP	GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	2/40	26/18614	0.00141636900639902	0.0132681383603926	0.0073810308381615	RELA/TNFAIP3	2
BP	GO:0035994	response to muscle stretch	2/40	26/18614	0.00141636900639902	0.0132681383603926	0.0073810308381615	DDR2/RELA	2
BP	GO:0042102	positive regulation of T cell proliferation	3/40	105/18614	0.00148068384268362	0.0137505904620118	0.00764941768665995	IL1B/IL6/TFRC	3
BP	GO:0006631	fatty acid metabolic process	5/40	394/18614	0.00148173200075978	0.0137505904620118	0.00764941768665995	ALDH3A2/IL1B/PEX2/PTGS2/SCP2	5
BP	GO:0071241	cellular response to inorganic substance	4/40	231/18614	0.00148761773308505	0.0137505904620118	0.00764941768665995	EGFR/HSPA5/MEF2C/PTGS2	4
BP	GO:0001963	synaptic transmission, dopaminergic	2/40	27/18614	0.00152760298185607	0.0139963273206023	0.00778612046153785	PARK7/PTGS2	2
BP	GO:2000108	positive regulation of leukocyte apoptotic process	2/40	27/18614	0.00152760298185607	0.0139963273206023	0.00778612046153785	CDKN2A/MEF2C	2
BP	GO:0046822	regulation of nucleocytoplasmic transport	3/40	107/18614	0.00156312318517636	0.0142592328988359	0.00793237415046978	IL1B/PARK7/PTGS2	3
BP	GO:0032963	collagen metabolic process	3/40	108/18614	0.00160540131994604	0.0145294888821991	0.00808271685064512	DDR2/FURIN/IL6	3
BP	GO:0051403	stress-activated MAPK cascade	4/40	237/18614	0.00163422362310914	0.0145294888821991	0.00808271685064512	EGFR/FZD7/IL1B/ZFP36	4
BP	GO:0032703	negative regulation of interleukin-2 production	2/40	28/18614	0.00164287902940445	0.0145294888821991	0.00808271685064512	TNFAIP3/ZFP36	2
BP	GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway	2/40	28/18614	0.00164287902940445	0.0145294888821991	0.00808271685064512	EGFR/SNX5	2
BP	GO:1902883	negative regulation of response to oxidative stress	2/40	28/18614	0.00164287902940445	0.0145294888821991	0.00808271685064512	DDR2/PARK7	2
BP	GO:1903055	positive regulation of extracellular matrix organization	2/40	28/18614	0.00164287902940445	0.0145294888821991	0.00808271685064512	DDR2/IL6	2
BP	GO:0000045	autophagosome assembly	3/40	109/18614	0.00164839103163292	0.0145294888821991	0.00808271685064512	ATG16L1/GABARAPL2/ULK1	3
BP	GO:1904035	regulation of epithelial cell apoptotic process	3/40	109/18614	0.00164839103163292	0.0145294888821991	0.00808271685064512	IL6/TNFAIP3/ZFP36	3
BP	GO:1901222	regulation of NIK/NF-kappaB signaling	3/40	110/18614	0.00169209672648288	0.0148520590824485	0.00826216181352103	EGFR/IL1B/RELA	3
BP	GO:0051341	regulation of oxidoreductase activity	3/40	111/18614	0.00173652277517874	0.0151149836556183	0.00840842606928654	EGFR/IL1B/PARK7	3
BP	GO:0071347	cellular response to interleukin-1	3/40	111/18614	0.00173652277517874	0.0151149836556183	0.00840842606928654	IL1B/IL6/RELA	3
BP	GO:0015732	prostaglandin transport	2/40	29/18614	0.0017621801434209	0.0151489478173097	0.00842732024404019	IL1B/PTGS2	2
BP	GO:1903205	regulation of hydrogen peroxide-induced cell death	2/40	29/18614	0.0017621801434209	0.0151489478173097	0.00842732024404019	DDR2/PARK7	2
BP	GO:1904385	cellular response to angiotensin	2/40	29/18614	0.0017621801434209	0.0151489478173097	0.00842732024404019	DDR2/RELA	2
BP	GO:0031098	stress-activated protein kinase signaling cascade	4/40	245/18614	0.00184499118821822	0.0157551491718823	0.00876454847988616	EGFR/FZD7/IL1B/ZFP36	4
BP	GO:0007159	leukocyte cell-cell adhesion	5/40	415/18614	0.00186124579894035	0.0157551491718823	0.00876454847988616	IL1B/IL6/RELA/SOCS1/TFRC	5
BP	GO:0045444	fat cell differentiation	4/40	246/18614	0.00187260116089265	0.0157551491718823	0.00876454847988616	IL6/PTGS2/SOCS1/ZFP36	4
BP	GO:0033559	unsaturated fatty acid metabolic process	3/40	114/18614	0.00187416622088061	0.0157551491718823	0.00876454847988616	IL1B/PTGS2/SCP2	3
BP	GO:0015701	bicarbonate transport	2/40	30/18614	0.00188548936954073	0.0157551491718823	0.00876454847988616	CYB5R1/SLC39A14	2
BP	GO:0071108	protein K48-linked deubiquitination	2/40	30/18614	0.00188548936954073	0.0157551491718823	0.00876454847988616	PARK7/TNFAIP3	2
BP	GO:0071480	cellular response to gamma radiation	2/40	30/18614	0.00188548936954073	0.0157551491718823	0.00876454847988616	CDKN1A/HSPA5	2
BP	GO:0042303	molting cycle	3/40	115/18614	0.00192151668578335	0.0158033399866198	0.00879135690470294	EGFR/PTGS2/RELA	3
BP	GO:0042633	hair cycle	3/40	115/18614	0.00192151668578335	0.0158033399866198	0.00879135690470294	EGFR/PTGS2/RELA	3
BP	GO:1905037	autophagosome organization	3/40	115/18614	0.00192151668578335	0.0158033399866198	0.00879135690470294	ATG16L1/GABARAPL2/ULK1	3
BP	GO:1990748	cellular detoxification	3/40	115/18614	0.00192151668578335	0.0158033399866198	0.00879135690470294	GSTZ1/PARK7/PTGS2	3
BP	GO:0050870	positive regulation of T cell activation	4/40	249/18614	0.00195715378072025	0.0160041381257856	0.00890306038692265	IL1B/IL6/SOCS1/TFRC	4
BP	GO:0001558	regulation of cell growth	5/40	420/18614	0.00196125388233658	0.0160041381257856	0.00890306038692265	CDKN1A/CDKN2A/EGFR/MEG3/ULK1	5
BP	GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	2/40	31/18614	0.00201278980452475	0.0162800594317739	0.00905655469132973	PARK7/TNFAIP3	2
BP	GO:0043406	positive regulation of MAP kinase activity	3/40	117/18614	0.00201844681322616	0.0162800594317739	0.00905655469132973	EGFR/IL1B/MEF2C	3
BP	GO:0071887	leukocyte apoptotic process	3/40	117/18614	0.00201844681322616	0.0162800594317739	0.00905655469132973	CDKN2A/IL6/MEF2C	3
BP	GO:0045926	negative regulation of growth	4/40	252/18614	0.00204432301174083	0.0164005373579046	0.00912357624807975	CDKN1A/CDKN2A/MEG3/ULK1	4
BP	GO:0035967	cellular response to topologically incorrect protein	3/40	118/18614	0.00206803476214035	0.0164005373579046	0.00912357624807975	ATF3/HSPA5/PARP6	3
BP	GO:0050830	defense response to Gram-positive bacterium	3/40	118/18614	0.00206803476214035	0.0164005373579046	0.00912357624807975	IL1B/IL6/TBK1	3
BP	GO:0051897	positive regulation of protein kinase B signaling	3/40	118/18614	0.00206803476214035	0.0164005373579046	0.00912357624807975	EGFR/MTDH/PARK7	3
BP	GO:0016032	viral process	5/40	426/18614	0.00208641447574254	0.0164005373579046	0.00912357624807975	ATG16L1/EGFR/FURIN/TFRC/ZFP36	5
BP	GO:0021782	glial cell development	3/40	119/18614	0.00211837676804602	0.0164005373579046	0.00912357624807975	IL1B/IL6/NDRG1	3
BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	4/40	255/18614	0.002134150614165	0.0164005373579046	0.00912357624807975	HSPA5/PARK7/RELA/TNFAIP3	4
BP	GO:0001516	prostaglandin biosynthetic process	2/40	32/18614	0.00214406459612663	0.0164005373579046	0.00912357624807975	IL1B/PTGS2	2
BP	GO:0009072	aromatic amino acid metabolic process	2/40	32/18614	0.00214406459612663	0.0164005373579046	0.00912357624807975	GSTZ1/PARK7	2
BP	GO:0032770	positive regulation of monooxygenase activity	2/40	32/18614	0.00214406459612663	0.0164005373579046	0.00912357624807975	IL1B/PARK7	2
BP	GO:0033032	regulation of myeloid cell apoptotic process	2/40	32/18614	0.00214406459612663	0.0164005373579046	0.00912357624807975	CDKN2A/MEF2C	2
BP	GO:0033198	response to ATP	2/40	32/18614	0.00214406459612663	0.0164005373579046	0.00912357624807975	IL1B/PTGS2	2
BP	GO:0046457	prostanoid biosynthetic process	2/40	32/18614	0.00214406459612663	0.0164005373579046	0.00912357624807975	IL1B/PTGS2	2
BP	GO:0046825	regulation of protein export from nucleus	2/40	32/18614	0.00214406459612663	0.0164005373579046	0.00912357624807975	IL1B/PARK7	2
BP	GO:0001503	ossification	5/40	429/18614	0.00215114755197025	0.0164005373579046	0.00912357624807975	DDR2/EGFR/IL6/MEF2C/PTGS2	5
BP	GO:0034612	response to tumor necrosis factor	4/40	257/18614	0.00219553312001288	0.0166780679552978	0.00927796579710705	PTGS2/RELA/TNFAIP3/ZFP36	4
BP	GO:0030282	bone mineralization	3/40	121/18614	0.00222133914606117	0.0167522652567573	0.0093192415628027	DDR2/MEF2C/PTGS2	3
BP	GO:1901989	positive regulation of cell cycle phase transition	3/40	121/18614	0.00222133914606117	0.0167522652567573	0.0093192415628027	BRD4/DDR2/EGFR	3
BP	GO:0034976	response to endoplasmic reticulum stress	4/40	259/18614	0.00225812793227301	0.0169684505414328	0.00943950487402271	ATF3/HSPA5/PARK7/PARP6	4
BP	GO:0036474	cell death in response to hydrogen peroxide	2/40	33/18614	0.00227929694296053	0.0170051832637305	0.0094599391918362	DDR2/PARK7	2
BP	GO:1901185	negative regulation of ERBB signaling pathway	2/40	33/18614	0.00227929694296053	0.0170051832637305	0.0094599391918362	EGFR/SNX5	2
BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	3/40	123/18614	0.00232736599779911	0.0172406651397246	0.00959093714658538	IL1B/IL6/TFRC	3
BP	GO:0022612	gland morphogenesis	3/40	123/18614	0.00232736599779911	0.0172406651397246	0.00959093714658538	EGFR/IL6/TNFAIP3	3
BP	GO:0090068	positive regulation of cell cycle process	4/40	262/18614	0.00235432006673035	0.0173614571379272	0.00965813342081159	BRD4/DDR2/EGFR/IL1B	4
BP	GO:0042060	wound healing	5/40	439/18614	0.0023775889503656	0.0173614571379272	0.00965813342081159	CDKN1A/DDR2/FZD7/IL6/TNFAIP3	5
BP	GO:0097237	cellular response to toxic substance	3/40	124/18614	0.00238153846914633	0.0173614571379272	0.00965813342081159	GSTZ1/PARK7/PTGS2	3
BP	GO:0001894	tissue homeostasis	4/40	263/18614	0.00238700354311751	0.0173614571379272	0.00965813342081159	IL6/PTGS2/TFRC/TNFAIP3	4
BP	GO:0060249	anatomical structure homeostasis	4/40	263/18614	0.00238700354311751	0.0173614571379272	0.00965813342081159	IL6/PTGS2/TFRC/TNFAIP3	4
BP	GO:0009410	response to xenobiotic stimulus	5/40	440/18614	0.00240115418745627	0.0173614571379272	0.00965813342081159	HSPA5/IL1B/MEF2C/PTGS2/TFRC	5
BP	GO:0001782	B cell homeostasis	2/40	34/18614	0.00241847009436899	0.0173614571379272	0.00965813342081159	MEF2C/TNFAIP3	2
BP	GO:0034405	response to fluid shear stress	2/40	34/18614	0.00241847009436899	0.0173614571379272	0.00965813342081159	MEF2C/PTGS2	2
BP	GO:0060964	regulation of miRNA-mediated gene silencing	2/40	34/18614	0.00241847009436899	0.0173614571379272	0.00965813342081159	IL6/ZFP36	2
BP	GO:0002708	positive regulation of lymphocyte mediated immunity	3/40	126/18614	0.00249222094482303	0.0178296217593675	0.0099185721812712	IL1B/IL6/TFRC	3
BP	GO:0001893	maternal placenta development	2/40	35/18614	0.00256156735029117	0.018201068689654	0.0101252071418599	DAZAP1/PTGS2	2
BP	GO:0035633	maintenance of blood-brain barrier	2/40	35/18614	0.00256156735029117	0.018201068689654	0.0101252071418599	IL6/PTGS2	2
BP	GO:0002821	positive regulation of adaptive immune response	3/40	129/18614	0.00266414581872655	0.0187387226105042	0.010424302618728	IL1B/IL6/TFRC	3
BP	GO:0045931	positive regulation of mitotic cell cycle	3/40	129/18614	0.00266414581872655	0.0187387226105042	0.010424302618728	BRD4/DDR2/EGFR	3
BP	GO:0046683	response to organophosphorus	3/40	129/18614	0.00266414581872655	0.0187387226105042	0.010424302618728	HSPA5/IL1B/PTGS2	3
BP	GO:0032868	response to insulin	4/40	272/18614	0.00269538900697958	0.0188459769451555	0.0104839679259538	IL1B/SLC39A14/SNX5/SOCS1	4
BP	GO:0009314	response to radiation	5/40	452/18614	0.00269743758094854	0.0188459769451555	0.0104839679259538	CDKN1A/EGFR/HSPA5/PTGS2/RELA	5
BP	GO:1900368	regulation of post-transcriptional gene silencing by RNA	2/40	36/18614	0.00270857206113147	0.0188606901190121	0.0104921528262777	IL6/ZFP36	2
BP	GO:0072594	establishment of protein localization to organelle	5/40	453/18614	0.00272327517746794	0.0189000725771778	0.0105140611852583	CDKN1A/HSPA5/PEX2/PTGS2/TNFAIP3	5
BP	GO:0071560	cellular response to transforming growth factor beta stimulus	4/40	274/18614	0.00276746524643545	0.0191431619198797	0.0106492911539377	DDR2/FURIN/HSPA5/MEF2C	4
BP	GO:1901987	regulation of cell cycle phase transition	5/40	457/18614	0.00282843233820012	0.0195003140412543	0.0108479739495325	BRD4/CDKN1A/CDKN2A/DDR2/EGFR	5
BP	GO:0007611	learning or memory	4/40	276/18614	0.00284085712424502	0.0195215478044337	0.0108597862367261	EGFR/MEF2C/PGRMC1/PTGS2	4
BP	GO:0060147	regulation of post-transcriptional gene silencing	2/40	37/18614	0.00285946762762831	0.0195850094233297	0.0108950897701524	IL6/ZFP36	2
BP	GO:0002702	positive regulation of production of molecular mediator of immune response	3/40	134/18614	0.0029666724618609	0.0201173870255948	0.0111912500447238	IL1B/IL6/TFRC	3
BP	GO:1900180	regulation of protein localization to nucleus	3/40	134/18614	0.0029666724618609	0.0201173870255948	0.0111912500447238	PARK7/PTGS2/TFRC	3
BP	GO:0071559	response to transforming growth factor beta	4/40	280/18614	0.00299163573634068	0.0201173870255948	0.0111912500447238	DDR2/FURIN/HSPA5/MEF2C	4
BP	GO:0002369	T cell cytokine production	2/40	38/18614	0.0030142375007234	0.0201173870255948	0.0111912500447238	IL1B/IL6	2
BP	GO:0002724	regulation of T cell cytokine production	2/40	38/18614	0.0030142375007234	0.0201173870255948	0.0111912500447238	IL1B/IL6	2
BP	GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	2/40	38/18614	0.0030142375007234	0.0201173870255948	0.0111912500447238	ATF3/HSPA5	2
BP	GO:0045923	positive regulation of fatty acid metabolic process	2/40	38/18614	0.0030142375007234	0.0201173870255948	0.0111912500447238	IL1B/PTGS2	2
BP	GO:0060966	regulation of gene silencing by RNA	2/40	38/18614	0.0030142375007234	0.0201173870255948	0.0111912500447238	IL6/ZFP36	2
BP	GO:0010565	regulation of cellular ketone metabolic process	3/40	135/18614	0.003029608345027	0.0201555790852274	0.0112124961880986	IL1B/PARK7/PTGS2	3
BP	GO:0044772	mitotic cell cycle phase transition	5/40	467/18614	0.00310423065949054	0.0205864693577008	0.0114521993252383	BRD4/CDKN1A/CDKN2A/DDR2/EGFR	5
BP	GO:0060251	regulation of glial cell proliferation	2/40	39/18614	0.00317286518143114	0.0209750486202837	0.0116683649576948	IL1B/IL6	2
BP	GO:0010721	negative regulation of cell development	4/40	286/18614	0.00322796957378123	0.0212720140051388	0.011833566028406	IL1B/IL6/SOCS1/ULK1	4
BP	GO:0046328	regulation of JNK cascade	3/40	139/18614	0.00328957163874001	0.0216097960796474	0.0120214733173419	EGFR/FZD7/IL1B	3
BP	GO:0046627	negative regulation of insulin receptor signaling pathway	2/40	40/18614	0.00333533422070845	0.0216382397113663	0.0120372964356395	IL1B/SOCS1	2
BP	GO:0071634	regulation of transforming growth factor beta production	2/40	40/18614	0.00333533422070845	0.0216382397113663	0.0120372964356395	FURIN/PTGS2	2
BP	GO:1901031	regulation of response to reactive oxygen species	2/40	40/18614	0.00333533422070845	0.0216382397113663	0.0120372964356395	DDR2/PARK7	2
BP	GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell	2/40	40/18614	0.00333533422070845	0.0216382397113663	0.0120372964356395	IL6/RELA	2
BP	GO:1903008	organelle disassembly	3/40	140/18614	0.00335663465271406	0.0216420055232088	0.0120393913469666	GABARAPL2/PARK7/ULK1	3
BP	GO:1904019	epithelial cell apoptotic process	3/40	140/18614	0.00335663465271406	0.0216420055232088	0.0120393913469666	IL6/TNFAIP3/ZFP36	3
BP	GO:0070555	response to interleukin-1	3/40	141/18614	0.00342453333304095	0.0220118465622232	0.0122451329544201	IL1B/IL6/RELA	3
BP	GO:0001889	liver development	3/40	142/18614	0.00349327102018123	0.0220993998494553	0.0122938386202407	IL6/RELA/TNFAIP3	3
BP	GO:0006986	response to unfolded protein	3/40	142/18614	0.00349327102018123	0.0220993998494553	0.0122938386202407	ATF3/HSPA5/PARP6	3
BP	GO:0038061	NIK/NF-kappaB signaling	3/40	142/18614	0.00349327102018123	0.0220993998494553	0.0122938386202407	EGFR/IL1B/RELA	3
BP	GO:0051384	response to glucocorticoid	3/40	142/18614	0.00349327102018123	0.0220993998494553	0.0122938386202407	IL6/PTGS2/ZFP36	3
BP	GO:0032965	regulation of collagen biosynthetic process	2/40	41/18614	0.00350162821932489	0.0220993998494553	0.0122938386202407	DDR2/IL6	2
BP	GO:0072595	maintenance of protein localization in organelle	2/40	41/18614	0.00350162821932489	0.0220993998494553	0.0122938386202407	HSPA5/PARK7	2
BP	GO:0001666	response to hypoxia	4/40	293/18614	0.00351949175371853	0.0221452357636085	0.0123193370199913	DDR2/NDRG1/PTGS2/TFRC	4
